[2026-01-26 14:35:33,630:INFO:Welcome to CNN Classifier]
[2026-01-27 14:56:50,933:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 14:56:50,936:INFO:created directory at: artifacts]
[2026-01-27 14:56:50,938:INFO:created directory at: artifacts\training]
[2026-01-27 15:09:44,891:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 15:09:44,895:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 15:09:44,896:INFO:created directory at: artifacts]
[2026-01-27 15:09:44,898:INFO:created directory at: artifacts\training]
[2026-01-27 15:59:39,073:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 15:59:39,093:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 15:59:39,095:INFO:created directory at: artifacts]
[2026-01-27 15:59:39,097:INFO:created directory at: artifacts\training]
[2026-01-27 20:30:38,778:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 20:30:38,801:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 20:30:38,816:INFO:created directory at: artifacts]
[2026-01-27 20:30:38,819:INFO:created directory at: artifacts\training]
[2026-01-27 20:32:51,154:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 20:32:51,160:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 20:32:51,162:INFO:created directory at: artifacts]
[2026-01-27 20:32:51,164:INFO:created directory at: artifacts\training]
[2026-01-27 20:33:19,016:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 20:33:19,018:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 20:33:19,020:INFO:created directory at: artifacts]
[2026-01-27 20:33:19,022:INFO:created directory at: artifacts\training]
[2026-01-27 21:45:48,196:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 21:45:48,201:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 21:45:48,203:INFO:created directory at: artifacts]
[2026-01-27 21:45:48,205:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-27 21:49:16,565:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 21:49:16,573:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 21:49:16,577:INFO:created directory at: artifacts]
[2026-01-27 21:49:16,579:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-27 21:49:19,134:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-27 21:50:16,341:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 21:50:16,344:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 21:50:16,346:INFO:created directory at: artifacts]
[2026-01-27 21:50:16,347:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-27 21:50:17,940:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-27 21:52:40,209:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 21:52:40,212:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 21:52:40,215:INFO:created directory at: artifacts]
[2026-01-27 21:52:40,217:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-27 21:52:42,362:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-27 21:55:43,857:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 21:55:43,861:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 21:55:43,864:INFO:created directory at: artifacts]
[2026-01-27 21:55:43,865:INFO:created directory at: artifacts\training]
[2026-01-27 22:13:49,395:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 22:13:49,399:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 22:13:49,402:INFO:created directory at: artifacts]
[2026-01-27 22:13:49,404:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-27 22:13:52,204:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-27 22:14:16,993:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 22:14:16,998:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 22:14:17,000:INFO:created directory at: artifacts]
[2026-01-27 22:14:17,003:INFO:created directory at: artifacts\training]
[2026-01-27 22:22:22,426:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-27 22:22:22,433:INFO:yaml file: params.yaml loaded successfully]
[2026-01-27 22:22:22,435:INFO:created directory at: artifacts]
[2026-01-27 22:22:22,438:INFO:created directory at: artifacts\training]
[2026-01-28 08:58:25,664:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-28 08:58:25,687:INFO:yaml file: params.yaml loaded successfully]
[2026-01-28 08:58:25,689:INFO:created directory at: artifacts]
[2026-01-28 08:58:25,691:INFO:created directory at: artifacts\training]
[2026-01-28 10:55:40,442:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-28 10:55:40,447:INFO:yaml file: params.yaml loaded successfully]
[2026-01-28 10:55:40,450:INFO:created directory at: artifacts]
[2026-01-28 10:55:40,453:INFO:created directory at: artifacts\training]
[2026-01-28 18:36:36,713:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-28 18:36:36,742:INFO:yaml file: params.yaml loaded successfully]
[2026-01-28 18:36:36,745:INFO:created directory at: artifacts]
[2026-01-28 19:17:47,294:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-28 19:17:47,298:INFO:yaml file: params.yaml loaded successfully]
[2026-01-28 19:17:47,300:INFO:created directory at: artifacts]
[2026-01-28 19:17:47,301:INFO:created directory at: artifacts\training]
[2026-01-29 00:46:39,268:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 00:46:39,280:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 00:46:39,280:INFO:created directory at: artifacts]
[2026-01-29 00:47:32,788:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 00:47:32,792:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 00:47:32,795:INFO:created directory at: artifacts]
[2026-01-29 00:51:53,619:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 00:51:53,625:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 00:51:53,628:INFO:created directory at: artifacts]
[2026-01-29 01:18:24,675:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 01:18:24,678:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 01:18:24,680:INFO:created directory at: artifacts]
[2026-01-29 01:18:58,218:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 01:18:58,221:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 01:18:58,223:INFO:created directory at: artifacts]
[2026-01-29 01:30:41,919:WARNING:Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 54). These functions will not be directly callable after loading.]
[2026-01-29 01:30:44,998:INFO:Assets written to: C:\Users\ADMINI~1\AppData\Local\Temp\tmpes4lmwfs\model\data\model\assets]
[2026-01-29 12:22:56,778:INFO:Welcome to CNN Classifier]
[2026-01-29 13:19:26,073:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 13:19:26,076:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 13:19:26,079:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 13:19:26,080:INFO:created directory at: artifacts]
[2026-01-29 13:19:26,081:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 13:19:26,082:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 13:19:37,644:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 13:19:37,647:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 13:19:37,649:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 13:19:37,650:INFO:created directory at: artifacts]
[2026-01-29 13:19:37,650:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 13:19:37,650:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 13:24:47,730:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 13:25:20,386:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 14:11:11,626:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 14:11:11,629:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 14:11:11,631:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 14:11:11,631:INFO:created directory at: artifacts]
[2026-01-29 14:11:11,632:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 14:11:11,633:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:16:05,487:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:16:51,693:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 14:17:26,854:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 14:17:26,855:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 14:17:26,857:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 14:17:26,858:INFO:created directory at: artifacts]
[2026-01-29 14:17:26,858:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 14:17:26,859:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:22:23,317:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:22:50,864:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 14:22:50,865:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 14:22:50,869:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 14:22:50,874:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 14:22:50,877:INFO:created directory at: artifacts]
[2026-01-29 14:22:50,882:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 14:22:50,885:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:27:45,707:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:28:14,853:INFO:>>>>>> stage Prepare Base Model completed <<<<<<

x==========x]
[2026-01-29 14:52:46,422:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 14:52:46,424:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 14:52:46,425:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 14:52:46,426:INFO:created directory at: artifacts]
[2026-01-29 14:52:46,427:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 14:52:46,429:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:57:39,593:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 14:58:16,963:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 14:58:16,966:INFO:*******************]
[2026-01-29 14:58:16,967:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 14:58:17,023:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 14:58:17,046:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 14:58:17,098:INFO:created directory at: artifacts]
[2026-01-29 14:58:17,115:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-29 14:58:17,127:ERROR:name 'PrepareBaseModel' is not defined]
Traceback (most recent call last):
  File "C:\Users\Administrator\Desktop\Kidney-Disease-Classification\main.py", line 22, in <module>
    prepare_base_model.main()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\pipeline\stage_02_prepare_base_model.py", line 14, in main
    prepare_base_model = PrepareBaseModel(config=prepare_base_model_config)
NameError: name 'PrepareBaseModel' is not defined
[2026-01-29 15:00:09,790:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 15:00:09,792:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:00:09,793:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:00:09,794:INFO:created directory at: artifacts]
[2026-01-29 15:00:09,795:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 15:00:09,799:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:05:01,782:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:05:59,962:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 15:05:59,963:INFO:*******************]
[2026-01-29 15:05:59,964:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 15:05:59,967:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:05:59,972:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:05:59,974:INFO:created directory at: artifacts]
[2026-01-29 15:05:59,975:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-29 15:05:59,975:ERROR:name 'PrepareBaseModel' is not defined]
Traceback (most recent call last):
  File "C:\Users\Administrator\Desktop\Kidney-Disease-Classification\main.py", line 22, in <module>
    prepare_base_model.main()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\pipeline\stage_02_prepare_base_model.py", line 14, in main
    prepare_base_model = PrepareBaseModel(config=prepare_base_model_config)
NameError: name 'PrepareBaseModel' is not defined
[2026-01-29 15:10:04,632:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 15:10:04,635:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:10:04,636:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:10:04,636:INFO:created directory at: artifacts]
[2026-01-29 15:10:04,636:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 15:10:04,637:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:15:40,129:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 15:15:40,132:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:15:40,133:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:15:40,134:INFO:created directory at: artifacts]
[2026-01-29 15:15:40,134:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 15:15:40,136:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:21:17,374:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:21:56,626:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 15:21:56,650:INFO:*******************]
[2026-01-29 15:21:56,696:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 15:21:56,780:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:21:56,859:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:21:56,888:INFO:created directory at: artifacts]
[2026-01-29 15:21:56,895:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-29 15:21:56,899:ERROR:name 'ResNet50' is not defined]
Traceback (most recent call last):
  File "C:\Users\Administrator\Desktop\Kidney-Disease-Classification\main.py", line 22, in <module>
    prepare_base_model.main()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\pipeline\stage_02_prepare_base_model.py", line 15, in main
    prepare_base_model.get_base_model()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\components\prepare_base_model.py", line 14, in get_base_model
    self.model = ResNet50(
NameError: name 'ResNet50' is not defined
[2026-01-29 15:26:43,546:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 15:26:43,549:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:26:43,550:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:26:43,551:INFO:created directory at: artifacts]
[2026-01-29 15:26:43,551:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 15:26:43,552:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:31:55,661:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:32:46,290:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 15:32:46,292:INFO:*******************]
[2026-01-29 15:32:46,293:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 15:32:46,297:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:32:46,303:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:32:46,312:INFO:created directory at: artifacts]
[2026-01-29 15:32:46,324:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-29 15:32:50,943:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-29 15:32:53,046:INFO:>>>>>> stage Prepare Base Model completed <<<<<<

x==========x]
[2026-01-29 15:32:53,046:INFO:*******************]
[2026-01-29 15:32:53,046:INFO:>>>>>> stage Training started <<<<<<]
[2026-01-29 15:32:53,049:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:32:53,053:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:32:53,054:INFO:created directory at: artifacts]
[2026-01-29 15:32:53,055:INFO:created directory at: artifacts\training]
[2026-01-29 15:32:55,946:ERROR:name 'preprocess_input' is not defined]
Traceback (most recent call last):
  File "C:\Users\Administrator\Desktop\Kidney-Disease-Classification\main.py", line 34, in <module>
    model_trainer.main()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\pipeline\stage_03_model_training.py", line 16, in main
    training.train_valid_generator()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\components\model_training.py", line 38, in train_valid_generator
    preprocessing_function=preprocess_input,
NameError: name 'preprocess_input' is not defined
[2026-01-29 15:41:43,338:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 15:41:43,342:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:41:43,344:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:41:43,344:INFO:created directory at: artifacts]
[2026-01-29 15:41:43,346:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 15:41:43,346:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:46:57,352:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:47:44,011:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 15:47:44,013:INFO:*******************]
[2026-01-29 15:47:44,013:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 15:47:44,018:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:47:44,021:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:47:44,023:INFO:created directory at: artifacts]
[2026-01-29 15:47:44,023:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-29 15:47:46,713:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-29 15:47:47,649:INFO:>>>>>> stage Prepare Base Model completed <<<<<<

x==========x]
[2026-01-29 15:47:47,650:INFO:*******************]
[2026-01-29 15:47:47,650:INFO:>>>>>> stage Training started <<<<<<]
[2026-01-29 15:47:47,652:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:47:47,653:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:47:47,654:INFO:created directory at: artifacts]
[2026-01-29 15:47:47,654:INFO:created directory at: artifacts\training]
[2026-01-29 15:47:49,814:ERROR:name 'ImageDataGenerator' is not defined]
Traceback (most recent call last):
  File "C:\Users\Administrator\Desktop\Kidney-Disease-Classification\main.py", line 34, in <module>
    model_trainer.main()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\pipeline\stage_03_model_training.py", line 16, in main
    training.train_valid_generator()
  File "c:\users\administrator\desktop\kidney-disease-classification\src\CNN_Classifier\components\model_training.py", line 44, in train_valid_generator
    valid_datagen = ImageDataGenerator(**datagenerator_kwargs)
NameError: name 'ImageDataGenerator' is not defined
[2026-01-29 15:53:05,822:INFO:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-29 15:53:05,827:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:53:05,830:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:53:05,831:INFO:created directory at: artifacts]
[2026-01-29 15:53:05,832:INFO:created directory at: artifacts/data_ingestion]
[2026-01-29 15:53:05,833:INFO:Downloading data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:58:27,048:INFO:Downloaded data from https://drive.google.com/file/d/1izBMIlkbwn_xj4sFc8ZuQy26Eqgt5bY-/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-29 15:59:18,928:INFO:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-29 15:59:18,928:INFO:*******************]
[2026-01-29 15:59:18,929:INFO:>>>>>> stage Prepare Base Model started <<<<<<]
[2026-01-29 15:59:18,933:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:59:18,938:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:59:18,940:INFO:created directory at: artifacts]
[2026-01-29 15:59:18,940:INFO:created directory at: artifacts/prepare_base_model]
[2026-01-29 15:59:21,920:WARNING:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-01-29 15:59:23,286:INFO:>>>>>> stage Prepare Base Model completed <<<<<<

x==========x]
[2026-01-29 15:59:23,286:INFO:*******************]
[2026-01-29 15:59:23,287:INFO:>>>>>> stage Training started <<<<<<]
[2026-01-29 15:59:23,293:INFO:yaml file: config\config.yaml loaded successfully]
[2026-01-29 15:59:23,300:INFO:yaml file: params.yaml loaded successfully]
[2026-01-29 15:59:23,303:INFO:created directory at: artifacts]
[2026-01-29 15:59:23,303:INFO:created directory at: artifacts\training]
[2026-01-29 15:59:29,405:ERROR:name 'compute_class_weight' is not defined]
Traceback (most recent call last):
